id,origin,destination,airline,fare,travel_date,search_date,booking_window,created_at
1,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.464604
2,DEL,BOM,IndiGo,6583,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.477461
3,DEL,BOM,Akasa Air,6880,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.490922
4,DEL,BOM,Air India,6314,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.49819
5,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.505197
6,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.505197
7,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.512055
8,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.512055
9,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.519045
10,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.526616
11,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.533313
12,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.539487
13,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.540182
14,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.548735
15,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.554348
16,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.560836
17,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.566841
18,DEL,BOM,Air India Express,6779,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.57252
19,DEL,BOM,Air India,6792,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.574575
20,DEL,BOM,IndiGo,6793,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.581558
21,DEL,BOM,Akasa Air,6880,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.59127
22,DEL,BOM,Akasa Air,6880,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.596061
23,DEL,BOM,Akasa Air,6880,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.602021
24,DEL,BOM,IndiGo,7055,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.602021
25,DEL,BOM,IndiGo,7055,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.609696
26,DEL,BOM,IndiGo,7055,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.616325
27,DEL,BOM,IndiGo,7055,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.616325
28,DEL,BOM,Air India Express,7261,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.623418
29,DEL,BOM,IndiGo,7370,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.630191
30,DEL,BOM,IndiGo,7370,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.636676
31,DEL,BOM,IndiGo,7370,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.63997
32,DEL,BOM,Air India,7553,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.644287
33,DEL,BOM,Air India,7685,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.647021
34,DEL,BOM,Air India,7685,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.651189
35,DEL,BOM,Air India,7685,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.651189
36,DEL,BOM,Akasa Air,7716,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.658006
37,DEL,BOM,Air India,7879,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.658006
38,DEL,BOM,Air India,8052,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.664887
39,DEL,BOM,IndiGo,8053,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.664887
40,DEL,BOM,IndiGo,8053,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.671812
41,DEL,BOM,IndiGo,8053,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.671812
42,DEL,BOM,Air India,8136,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.678463
43,DEL,BOM,Air India,8136,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.678463
44,DEL,BOM,Akasa Air,8419,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.685656
45,DEL,BOM,IndiGo,8473,2026-09-20,2026-09-13,7,2026-09-13 07:13:10.685656
